"group","mean_cover","sd_cover","median_cover","min_cover","max_cover","n_obs","n_years"
"EAM",40.5389006261192,14.9005573230371,42.4421542861333,10.9787878784,70.668067738,60,7
"MAL",27.3404999935188,10.556810439425,27.7146091597983,8.2365656566,51.2850493266364,60,7
"ZOA",23.0881902412857,22.2771288887532,20,2.127659574,58.69565218,7,5
"ACA",16.9437045551074,8.01868284200701,14.6452287583588,7.05922809355556,44.588560551,60,7
"SCL",10.3224615556319,7.57492287963958,7.849857265,2.1054964535,34.5309090918,59,7
"CCA",5.48246299562882,3.50886113548054,4.65948343260606,2.083333333,20.961697329875,56,7
"CYA",10.3717576849278,15.952133477729,4.40727575483333,2.090909091,66.5106060591,54,7
"ABI",5.65522191503203,4.66190272344298,4.01390663254167,2,26.1215451215714,50,7
"POR",4.67420649465896,2.99005682608597,3.59637521176667,2,16.9601859752857,52,7
"INV",2.14372294385714,0.155639395762047,2.166666667,2,2.4,7,4
